# ::id 607013
# ::tok In 1984 , McCartney starred in the musical Give My Regards to Broad Street , a feature film he also wrote and produced which included Starr in an acting role .
# ::alignments 0-1.1.1.1 1-1.1.1.2 3-1.1.2 4-1.1.3 5-1.1.4.1 6-1.1.4.2.1 7-1.1.4.2.2 8-1.1.4.3 9-1.1.4.3 10-1.1.4.3 11-1.1.4.3 12-1.1.4.3 13-1.1.4.3 15-1.1.4.4.1 16-1.1.4.4.2 17-1.1.4.4.3 18-1.1.4.4.4.1.2 19-1.1.4.4.4.1.3 20-1.1.4.4.4.1.4.1 21-1.1.4.4.4.1.4.2 22-1.1.4.4.4.1.4.3 23-1.1.4.4.4.2 24-1.1.4.4.4.3.2 25-1.1.4.4.4.3.3 26-1.1.4.4.4.3.4.1 27-1.1.4.4.4.3.4.2 28-1.1.4.4.4.3.4.3 29-1.1.4.4.4.3.4.4
(v1 / label
    :H (v2 / label
           :D (v3 / label
                  :R (v7 / label~e.0)
                  :C (v8 / label~e.1))
           :A (v4 / label~e.3)
           :P (v5 / label~e.4)
           :A (v6 / label
                  :R (v9 / label~e.5)
                  :E (v10 / label
                          :E (v13 / label~e.6)
                          :C (v14 / label~e.7))
                  :C (v11 / label~e.8,9,10,11,12,13)
                  :E (v12 / label
                          :E (v15 / label~e.15)
                          :E (v16 / label~e.16)
                          :C (v17 / label~e.17)
                          :E (v18 / label
                                  :H (v19 / label
                                          :A v11
                                          :A (v22 / label~e.18)
                                          :D (v23 / label~e.19)
                                          :P (v24 / label
                                                  :C (v28 / label~e.20)
                                                  :N (v29 / label~e.21)
                                                  :C (v30 / label~e.22)))
                                  :L (v20 / label~e.23)
                                  :H (v21 / label
                                          :A v11
                                          :S (v25 / label~e.24)
                                          :A (v26 / label~e.25)
                                          :A (v27 / label
                                                  :R (v31 / label~e.26)
                                                  :E (v32 / label~e.27)
                                                  :E (v33 / label~e.28)
                                                  :C (v34 / label~e.29))))))))
