# ::id 616010
# ::tok McCartney took up painting in 1983 , and he first exhibited his work in Siegen , Germany , in 1999 .
# ::alignments 0-1.1.1 1-1.1.2.1 2-1.1.2.1 3-1.1.2.2 4-1.1.3.1 5-1.1.3.2 7-1.2 8-1.3.5 9-1.3.6 10-1.3.7 11-1.3.1.1 12-1.3.1.2 13-1.3.2.1 14-1.3.2.2 16-1.3.2.2 18-1.3.3.1 19-1.3.3.2
# ::format ucca
(v1 / label
    :H (v2 / label
           :A (v5 / label~e.0)
           :P (v6 / label
                  :E (v14 / label~e.1,2)
                  :C (v15 / label~e.3))
           :D (v7 / label
                  :R (v16 / label~e.4)
                  :C (v17 / label~e.5)))
    :L (v3 / label~e.7)
    :H (v4 / label
           :A (v8 / label
                  :A (v18 / label~e.11)
                  :P (v19 / label~e.12))
           :A (v9 / label
                  :R (v20 / label~e.13)
                  :C (v21 / label~e.14,16))
           :D (v10 / label
                   :R (v22 / label~e.18)
                   :C (v23 / label~e.19))
           :A (v11 / label~e.8)
           :D (v12 / label~e.9)
           :P (v13 / label~e.10)))
