# ::id 455012
# ::tok In January , he anchored the first installment of Peter Jennings Reporting - hour - long , prime - time ABC News specials dedicated to exploring a single topic .
# ::alignments 0-1.1.1.1 1-1.1.1.2 3-1.1.2 4-1.1.3 5-1.1.4.1 6-1.1.4.2 7-1.1.4.3 8-1.1.4.4.1 9-1.1.4.4.2 10-1.1.4.4.2 11-1.1.4.4.2 13-1.1.4.4.3.1.1.1 15-1.1.4.4.3.1.1.2 17-1.1.4.4.3.1.2.1 19-1.1.4.4.3.1.2.2 20-1.1.4.4.3.1.3.1 21-1.1.4.4.3.1.3.2 22-1.1.4.4.3.1.4 23-1.1.4.4.3.2 25-1.1.4.4.3.4 26-1.1.4.4.3.5.1 27-1.1.4.4.3.5.2 28-1.1.4.4.3.5.3
# ::format ucca
(v1 / label
    :H (v2 / label
           :D (v3 / label
                  :R (v7 / label~e.0)
                  :C (v8 / label~e.1))
           :A (v4 / label~e.3)
           :P (v5 / label~e.4)
           :A (v6 / label
                  :E (v9 / label~e.5)
                  :E (v10 / label~e.6)
                  :C (v11 / label~e.7)
                  :E (v12 / label
                          :R (v13 / label~e.8)
                          :C (v14 / label~e.9,10,11)
                          :E (v15 / label
                                  :A (v16 / label
                                          :E (v20 / label
                                                  :E (v27 / label~e.13)
                                                  :C (v28 / label~e.15))
                                          :E (v21 / label
                                                  :E (v29 / label~e.17)
                                                  :C (v30 / label~e.19))
                                          :E (v22 / label
                                                  :E (v31 / label~e.20)
                                                  :C (v32 / label~e.21))
                                          :C (v23 / label~e.22))
                                  :D (v17 / label~e.23)
                                  :S (v18 / label~e.25)
                                  :A (v19 / label
                                          :E (v24 / label~e.26)
                                          :E (v25 / label~e.27)
                                          :C (v26 / label~e.28)))))))
