# ::id 220001
# ::tok She will make a cameo appearance in the upcoming short feature Fight for Your Right Revisited .
# ::alignments 0-1.1.1 3-1.1.2.2 4-1.1.2.3 5-1.1.2.4 6-1.1.4.5 7-1.1.4.6 8-1.1.4.1 9-1.1.4.2.1 10-1.1.4.2.2 11-1.1.4.3 12-1.1.4.3 13-1.1.4.3 14-1.1.4.3 15-1.1.4.3
# ::format ucca
(v1 / label
    :H (v2 / label
           :A (v3 / label~e.0)
           :P (v4 / label
                  :E (v6 / label~e.3)
                  :E (v7 / label~e.4)
                  :C (v8 / label~e.5))
           :A (v5 / label
                  :E (v9 / label~e.8)
                  :E (v10 / label
                          :E (v14 / label~e.9)
                          :C (v15 / label~e.10))
                  :C (v11 / label~e.11,12,13,14,15)
                  :R (v12 / label~e.6)
                  :E (v13 / label~e.7))))
