# ::id 1019012
# ::tok Joseph acknowledged in 2003 that he regularly whipped Jackson as a boy .
# ::alignments 0-1.1.1 1-1.1.2 2-1.1.3.1 3-1.1.3.2 5-1.1.4.5 6-1.1.4.1 7-1.1.4.2 8-1.1.4.3.1 9-1.1.4.3.2.1 10-1.1.4.3.2.2 11-1.1.4.3.2.3
# ::format ucca
(v1 / label
    :H (v2 / label
           :A (v3 / label~e.0)
           :P (v4 / label~e.1)
           :D (v5 / label
                  :R (v7 / label~e.2)
                  :C (v8 / label~e.3))
           :A (v6 / label
                  :D (v9 / label~e.6)
                  :P (v10 / label~e.7)
                  :A (v11 / label
                          :C (v13 / label~e.8)
                          :E (v14 / label
                                  :R (v15 / label~e.9)
                                  :E (v16 / label~e.10)
                                  :C (v17 / label~e.11)))
                  :A (v12 / label~e.5))))
