# ::id 525011
# ::tok However , no matter how glamorous or beautiful she appeared on screen or in photographs , she was never confident in her appearance and never escaped the " girl next door " image that had been created for her .
# ::alignments 0-1.1.1 2-1.1.2.1 3-1.1.2.2 4-1.1.2.3 5-1.2.1.1 6-1.2.1.2 7-1.2.1.3 8-1.2.2 9-1.2.3 10-1.2.4.1.1 11-1.2.4.1.2 12-1.2.4.2 13-1.2.4.3.1 14-1.2.4.3.2 16-1.3.1 18-1.3.3 19-1.3.4 20-1.3.5.1 21-1.3.5.2 22-1.3.5.3 23-1.4 24-1.5.1 25-1.5.2 26-1.5.3.1 28-1.5.3.2.1 29-1.5.3.2.2.1 30-1.5.3.2.2.2 32-1.5.3.3 33-1.5.3.4.2 36-1.5.3.4.5 37-1.5.3.4.6.1 38-1.5.3.4.6.2
# ::format ucca
(v1 / label
    :L (v2 / label
           :C (v7 / label~e.0)
           :C (v8 / label
                  :E (v20 / label~e.2)
                  :C (v21 / label~e.3)
                  :R (v22 / label~e.4)))
    :H (v3 / label
           :A (v9 / label
                  :C (v23 / label~e.5)
                  :N (v24 / label~e.6)
                  :C (v25 / label~e.7))
           :A (v10 / label~e.8)
           :S (v11 / label~e.9)
           :A (v12 / label
                   :C (v26 / label
                           :R (v36 / label~e.10)
                           :C (v37 / label~e.11))
                   :N (v27 / label~e.12)
                   :C (v28 / label
                           :R (v38 / label~e.13)
                           :C (v39 / label~e.14))))
    :H (v4 / label
           :A (v13 / label~e.16)
           :D (v14 / label~e.18)
           :S (v15 / label~e.19)
           :A (v16 / label
                   :R (v29 / label~e.20)
                   :E (v30 / label~e.21)
                   :C (v31 / label~e.22)))
    :L (v5 / label~e.23)
    :H (v6 / label
           :D (v17 / label~e.24)
           :S (v18 / label~e.25)
           :A (v19 / label
                   :E (v32 / label~e.26)
                   :E (v33 / label
                           :C (v40 / label~e.28)
                           :E (v41 / label
                                   :E (v45 / label~e.29)
                                   :C (v46 / label~e.30)))
                   :C (v34 / label~e.32)
                   :E (v35 / label
                           :A v34
                           :R (v42 / label~e.33)
                           :P (v43 / label~e.36)
                           :A (v44 / label
                                   :R (v47 / label~e.37)
                                   :C (v48 / label~e.38))))
           :A v13))
