# ::id 634011
# ::tok The Beatles received recognition from the British Establishment when they were appointed Members of the Order of the British Empire in the Queen 's Birthday Honours of 1965 .
# ::alignments 0-1.1.1.1 1-1.1.1.2 2-1.1.2 3-1.1.3 4-1.1.4.1 5-1.1.4.2 6-1.1.4.3 7-1.1.4.4 8-1.2 9-1.3.1 11-1.3.3 12-1.3.4.1 13-1.3.4.2.1 14-1.3.4.2.2 15-1.3.4.2.3 16-1.3.4.2.4.1 17-1.3.4.2.4.2 18-1.3.4.2.4.3 19-1.3.4.2.4.4 20-1.4 21-1.5.3.1 22-1.5.3.2 23-1.5.3.3 24-1.5.4 25-1.5.4 26-1.5.1.1 27-1.5.1.2
# ::format ucca
(v1 / label
    :H (v2 / label
           :A (v7 / label
                  :E (v18 / label~e.0)
                  :C (v19 / label~e.1))
           :P (v8 / label~e.2)
           :A (v9 / label~e.3)
           :A (v10 / label
                   :R (v20 / label~e.4)
                   :E (v21 / label~e.5)
                   :E (v22 / label~e.6)
                   :C (v23 / label~e.7)))
    :L (v3 / label~e.8)
    :H (v4 / label
           :A (v11 / label~e.9)
           :P (v12 / label~e.11)
           :A (v13 / label
                   :C (v24 / label~e.12)
                   :E (v25 / label
                           :R (v31 / label~e.13)
                           :E (v32 / label~e.14)
                           :C (v33 / label~e.15)
                           :E (v34 / label
                                   :R (v35 / label~e.16)
                                   :E (v36 / label~e.17)
                                   :E (v37 / label~e.18)
                                   :C (v38 / label~e.19)))))
    :L (v5 / label~e.20)
    :H (v6 / label
           :D (v14 / label
                   :R (v26 / label~e.26)
                   :C (v27 / label~e.27))
           :P (v15 / label)
           :A (v16 / label
                   :E (v28 / label~e.21)
                   :C (v29 / label~e.22)
                   :R (v30 / label~e.23))
           :A (v17 / label~e.24,25)))
